website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
flipsnack.com,18.239.199.20,0.27,0.662,0.3452,0.316,18.239.199.21,0.2865,0.029500000000000026,False
flourish.studio,13.35.121.31,0.83,1.73,0.9415,0.8554999999999999,13.35.121.31,0.8554999999999999,0.0,True
fnac.com,23.67.33.43,3.05,4.18,3.232,3.125,23.216.149.141,0.8674999999999999,2.2575000000000003,False
fnn.jp,18.155.202.75,0.264,1.2,0.3929000000000001,0.2925,18.155.202.75,0.2925,0.0,True
focus.de,23.46.216.206,2.23,3.12,2.348,2.25,23.46.216.206,2.245,0.004999999999999893,True
foodnetwork.com,18.155.192.119,0.289,1.48,0.4466,0.324,18.155.192.119,0.324,0.0,True
forbesjapan.com,99.84.238.154,0.823,1.89,1.0039,0.8605,99.84.238.132,0.857,0.0035000000000000586,False
force.com,23.1.106.133,2.89,4.41,3.38,3.105,184.31.10.133,2.915,0.18999999999999995,False
formstack.com,18.173.121.87,0.879,5.34,1.4129,0.959,18.173.121.86,0.9395,0.019499999999999962,False
fortune.com,65.8.161.119,0.96,3.64,1.3455,1.03,65.8.161.119,1.02,0.010000000000000009,True
fotmob.com,18.173.121.57,0.281,0.855,0.3782999999999999,0.3125,18.173.121.57,0.3125,0.0,True
fotocasa.es,18.239.199.10,0.851,0.959,0.9007000000000002,0.8995,18.239.199.3,0.8825000000000001,0.016999999999999904,False
fotocdn.net,185.5.72.151,167.0,168.0,167.2,167.0,185.5.72.151,167.0,0.0,True
fotor.com,3.169.183.71,0.867,3.33,1.1733,0.906,3.169.183.71,0.906,0.0,True
fox.com,23.37.16.218,2.23,2.34,2.266,2.255,23.37.16.218,2.255,0.0,True
foxbusiness.com,23.203.232.26,1.3,2.29,1.419,1.32,23.203.232.26,1.32,0.0,True
foxnews.com,23.37.17.109,3.06,3.44,3.1160000000000005,3.08,23.37.17.109,3.08,0.0,True
foxsports.com,184.28.121.20,1.27,2.18,1.4090000000000005,1.31,184.28.121.20,1.31,0.0,True
fpjs.io,18.238.192.90,0.276,0.335,0.3087,0.31,18.238.192.18,0.299,0.01100000000000001,False
france.tv,23.62.46.171,0.804,1.53,0.9483,0.846,23.62.46.171,0.846,0.0,True
france24.com,104.86.90.170,2.21,3.0,2.342,2.265,104.86.90.170,2.265,0.0,True
freee.co.jp,99.84.238.134,0.821,1.53,0.9187,0.8545,99.84.238.134,0.8545,0.0,True
freshchat.com,3.169.183.81,0.266,2.26,0.575,0.3295,18.155.192.65,0.2895,0.040000000000000036,False
freshdesk.com,13.227.74.80,1.07,1.89,1.269,1.17,13.227.74.103,1.1150000000000002,0.054999999999999716,False
freshservice.com,65.8.161.12,0.877,2.28,1.106,0.961,65.8.161.12,0.961,0.0,True
freshworks.com,65.8.161.99,0.939,2.11,1.1105999999999998,0.97,65.8.161.99,0.97,0.0,True
frontapp.com,18.244.214.54,0.845,1.08,0.9525,0.945,18.244.214.10,0.8845000000000001,0.06049999999999989,False
ftc.gov,23.51.128.62,108.0,108.0,108.0,108.0,23.196.125.227,3.11,104.89,False
full-count.jp,18.238.192.59,0.27,1.04,0.3766,0.3085,18.238.192.59,0.3085,0.0,True
fws.gov,104.77.183.16,1.41,2.86,1.6330000000000002,1.475,23.216.149.145,0.862,0.6130000000000001,False
g123.jp,3.168.86.24,0.85,1.99,0.9815,0.8745,3.168.86.24,0.8745,0.0,True
gaana.com,104.100.61.11,2.26,3.31,2.403,2.28,104.100.61.11,2.28,0.0,True
gadgets360.com,104.89.224.2,1.78,2.32,1.906,1.85,104.89.224.2,1.84,0.010000000000000009,True
gallup.com,108.138.246.81,0.768,1.66,0.9896999999999998,0.8845000000000001,108.138.246.32,0.827,0.05750000000000011,False
gamestop.com,65.8.161.88,0.308,0.893,0.4274,0.3485,65.8.161.88,0.313,0.035499999999999976,True
gamewith.jp,108.138.246.94,0.868,2.46,1.1088999999999998,0.9295,108.138.246.36,0.899,0.03049999999999997,False
gap.com,104.99.49.254,0.785,1.54,0.8982000000000001,0.8085,104.99.49.254,0.8085,0.0,True
gelderlander.nl,104.123.70.99,1.33,2.39,1.4840000000000002,1.39,23.216.149.152,0.823,0.567,False
geogebra.org,3.169.183.25,0.273,1.14,0.3959,0.3205,3.169.183.25,0.3205,0.0,True
getpocket.com,13.227.74.110,1.51,2.65,1.677,1.57,13.227.74.110,1.57,0.0,True
gettyimages.com,18.173.121.52,0.268,0.965,0.4138,0.361,18.173.121.83,0.356,0.0050000000000000044,False
ghostery.net,18.155.192.22,0.847,1.27,0.9411,0.907,18.155.192.67,0.8895,0.01750000000000007,False
github.io,185.199.109.153,0.93,234.0,24.5088,1.065,185.199.110.153,0.9805,0.08449999999999991,False
gobankingrates.com,18.238.192.77,0.278,0.815,0.4004,0.3315,18.238.192.46,0.307,0.024500000000000022,False
gofundme.com,18.239.199.90,0.864,1.3,0.9594,0.9065,18.239.199.90,0.9065,0.0,True
gopro.com,108.138.246.5,0.852,2.16,1.048,0.8995,108.138.246.5,0.8995,0.0,True
gotostage.com,13.35.121.69,0.848,1.74,0.9909,0.8965000000000001,13.35.121.21,0.8654999999999999,0.03100000000000014,False
grab.com,18.155.192.26,0.863,0.976,0.9098,0.904,18.155.192.26,0.904,0.0,True
grail.bz,99.84.238.197,0.822,1.38,0.9227,0.873,99.84.238.197,0.852,0.02100000000000002,True
grainger.com,23.59.193.250,2.25,2.88,2.342,2.275,23.59.193.250,2.275,0.0,True
grammarly.com,108.139.10.9,0.861,1.11,0.9190000000000002,0.8945000000000001,108.139.10.129,0.8885000000000001,0.006000000000000005,False
granbluefantasy.jp,3.166.216.11,106.0,109.0,106.7,106.0,18.65.229.59,17.4,88.6,False
groupme.com,108.138.246.127,0.834,1.46,0.9848,0.9485,108.138.246.127,0.917,0.03149999999999997,True
groupon.com,96.6.225.190,1.36,2.46,1.505,1.4049999999999998,96.6.225.190,1.395,0.009999999999999787,True
growthbook.io,13.227.74.65,1.11,1.84,1.1949999999999998,1.12,13.227.74.65,1.12,0.0,True
gucci.com,69.192.139.99,3.08,8.02,3.657,3.15,69.192.139.91,2.325,0.8249999999999997,False
guinnessworldrecords.com,18.238.192.96,0.877,2.57,1.1934,0.909,18.238.192.96,0.909,0.0,True
gumgum.com,65.8.161.43,0.921,2.44,1.1626,1.045,65.8.161.54,1.005,0.040000000000000036,False
halodoc.com,13.227.74.119,1.49,2.56,1.673,1.565,13.227.74.119,1.5550000000000002,0.009999999999999787,True
haremaltin.com,18.155.192.51,0.281,0.343,0.3148,0.3165,18.155.192.51,0.303,0.013500000000000012,True
hbr.org,18.244.214.45,0.842,5.21,1.4827,0.899,18.244.214.45,0.899,0.0,True
headspace.com,13.227.74.101,1.54,2.43,1.7259999999999998,1.5950000000000002,13.227.74.101,1.59,0.0050000000000001155,True
healthcare.gov,23.59.197.104,2.26,8.22,2.934,2.29,23.59.197.104,2.285,0.004999999999999893,True
healthgrades.com,13.35.121.31,0.847,2.11,0.9865,0.859,13.35.121.31,0.847,0.01200000000000001,True
healthline.com,3.169.183.122,0.852,13.8,2.1749,0.8805000000000001,3.169.183.122,0.8805000000000001,0.0,True
helpme.net,108.139.10.35,0.781,2.09,0.9529,0.8254999999999999,108.139.10.35,0.8254999999999999,0.0,True
helpscout.net,18.173.121.115,0.275,0.765,0.3591999999999999,0.3065,18.173.121.87,0.3055,0.0010000000000000009,False
heraldo.es,108.138.246.25,0.872,1.48,1.0215999999999998,0.9605,108.138.246.44,0.9095,0.051000000000000045,False
heroku.com,3.168.86.81,0.84,2.41,1.0749,0.915,3.168.86.81,0.915,0.0,True
hgtv.com,18.155.202.28,0.282,0.563,0.3735,0.354,18.155.202.28,0.3085,0.045499999999999985,True
hindustantimes.com,23.37.16.252,3.16,3.49,3.2470000000000008,3.2350000000000003,23.37.16.252,3.2350000000000003,0.0,True
hitta.se,18.155.202.107,0.311,13.0,1.6203,0.3505,18.155.202.97,0.29,0.0605,False
hk01.com,13.35.121.95,0.885,2.15,1.1098,0.9735,13.35.121.95,0.9735,0.0,True
hln.be,23.212.62.206,1.34,2.76,1.6509999999999998,1.38,23.216.149.138,0.8605,0.5194999999999999,False
hm.com,23.37.16.60,2.32,3.0,2.475,2.43,23.37.16.60,2.41,0.020000000000000018,True
hochi.news,108.139.10.125,0.854,7.83,2.0544,0.967,108.139.10.44,0.9075,0.0595,False
homegate.ch,108.139.10.7,0.867,2.83,1.1376,0.908,108.139.10.7,0.902,0.006000000000000005,True
homes.com,23.62.46.177,0.781,2.04,1.0036,0.8465,23.62.46.177,0.8465,0.0,True
hootsuite.com,3.169.183.121,0.277,0.871,0.3686,0.3035,3.169.183.121,0.3035,0.0,True
hotels.com,104.99.49.165,0.781,1.19,0.8545999999999999,0.8045,104.99.49.165,0.8045,0.0,True
hotjar.com,65.8.161.103,0.93,5.21,1.509,0.9655,65.8.161.103,0.9655,0.0,True
hotmart.com,3.169.183.76,0.859,1.04,0.9155,0.9105,18.238.192.20,0.898,0.012499999999999956,False
hotstar.com,18.238.192.82,0.289,0.963,0.3823999999999999,0.3045,18.238.192.82,0.3045,0.0,True
hotwire.com,23.38.238.65,3.02,3.26,3.106,3.095,23.38.238.65,2.295,0.8000000000000003,True
housing.com,18.155.192.63,0.294,0.372,0.3349,0.3345,18.155.192.12,0.3065,0.028000000000000025,False
howstuffworks.com,18.238.192.38,0.261,0.939,0.3971,0.311,18.238.192.38,0.311,0.0,True
hoyolab.com,18.239.199.37,0.272,0.327,0.2973,0.297,18.239.199.37,0.297,0.0,True
hs.fi,13.35.121.110,0.894,2.04,1.1801,0.9675,13.35.121.110,0.9585,0.009000000000000008,True
httpwg.org,185.199.110.153,0.946,1.75,1.1,0.968,185.199.110.153,0.968,0.0,True
huggingface.co,108.138.246.71,0.783,1.45,0.877,0.821,108.138.246.71,0.821,0.0,True
hulu.com,23.211.177.184,110.0,112.0,110.4,110.0,23.67.33.27,2.34,107.66,False
hyatt.com,69.192.139.110,2.22,2.92,2.337,2.26,23.62.46.150,0.81,1.4499999999999997,False
hyprmx.com,3.169.183.96,0.271,1.31,0.4126999999999999,0.3175,3.169.183.96,0.3175,0.0,True
ibm.com,104.86.93.68,3.09,3.34,3.172,3.15,104.86.93.68,3.14,0.009999999999999787,True
idc.com,18.244.214.101,0.842,2.14,1.0424000000000002,0.8845000000000001,18.244.214.68,0.8815,0.0030000000000001137,False
idntimes.com,18.155.192.57,0.859,1.05,0.9103,0.894,18.155.192.57,0.888,0.006000000000000005,True
iflscience.com,13.227.74.46,1.44,2.36,1.568,1.48,13.227.74.128,1.475,0.004999999999999893,False
ifood.com.br,65.8.161.117,0.306,1.11,0.416,0.3325,65.8.161.117,0.3325,0.0,True
ifttt.com,99.84.238.207,0.824,1.78,0.9563,0.877,99.84.238.110,0.8634999999999999,0.013500000000000068,False
ihg.com,23.62.46.9,0.759,1.17,0.8437000000000001,0.8085,23.62.46.9,0.8085,0.0,True
ikea.com,23.5.250.241,1.47,1.67,1.5470000000000002,1.525,23.5.250.241,1.525,0.0,True
iltalehti.fi,108.139.10.104,0.845,17.0,2.6418,0.9155,108.139.10.48,0.911,0.0044999999999999485,False
