website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
gopro.com,18.67.93.3,0.806,1.39,0.8867999999999998,0.8345,18.67.93.3,0.8345,0.0,True
gotostage.com,18.65.244.31,0.332,0.444,0.3960999999999999,0.413,18.65.244.31,0.3924999999999999,0.020500000000000074,True
grab.com,18.67.110.3,0.817,2.28,1.0542,0.878,18.67.110.112,0.714,0.16400000000000003,False
grail.bz,108.158.32.123,0.383,0.78,0.4395,0.397,108.158.32.23,0.361,0.03600000000000003,False
grainger.com,104.68.6.23,0.327,0.837,0.4055000000000001,0.3585,104.68.6.23,0.3545,0.0040000000000000036,True
grammarly.com,18.65.244.97,0.357,0.4,0.3862,0.3925,18.65.244.126,0.3795,0.013000000000000012,False
granbluefantasy.jp,3.163.44.52,45.9,46.9,46.08,46.0,3.163.44.52,46.0,0.0,True
groupme.com,18.67.110.64,0.838,1.66,0.9527,0.87,18.67.110.64,0.7084999999999999,0.1615000000000001,True
groupon.com,104.99.1.215,47.2,48.1,47.34,47.3,104.68.7.243,0.373,46.927,False
growthbook.io,108.158.32.91,0.357,0.888,0.4446,0.394,108.158.32.91,0.394,0.0,True
gucci.com,23.32.5.167,0.251,0.719,0.313,0.2665,23.32.5.119,0.2555,0.01100000000000001,False
guinnessworldrecords.com,18.65.244.54,0.371,0.663,0.4229,0.394,18.65.244.9,0.393,0.0010000000000000009,False
gumgum.com,18.67.110.107,0.819,1.38,0.9006000000000001,0.846,18.67.110.35,0.684,0.16199999999999992,False
halodoc.com,108.158.20.101,0.844,1.49,0.9472,0.8845000000000001,108.158.20.129,0.7124999999999999,0.17200000000000015,False
haremaltin.com,18.65.244.129,0.374,0.434,0.4078,0.4105,18.65.244.129,0.4105,0.0,True
hbr.org,18.67.110.45,0.831,1.46,0.9361,0.8625,18.67.110.121,0.8425,0.020000000000000018,False
headspace.com,18.67.93.93,0.815,1.5,0.9081,0.836,18.67.93.93,0.836,0.0,True
healthcare.gov,104.68.28.6,0.267,0.815,0.412,0.3585,104.68.28.6,0.3275,0.030999999999999972,True
healthgrades.com,13.35.147.64,0.558,1.06,0.6236999999999999,0.5754999999999999,13.35.147.64,0.5754999999999999,0.0,True
healthline.com,3.169.183.65,143.0,144.0,143.1,143.0,3.169.183.65,143.0,0.0,True
helpme.net,108.158.32.124,0.408,0.906,0.527,0.4975,108.158.32.124,0.449,0.04849999999999999,True
helpscout.net,13.35.147.44,0.543,1.28,0.6943,0.619,13.35.147.19,0.587,0.03200000000000003,False
heraldo.es,108.138.246.77,142.0,142.0,142.0,142.0,108.138.246.77,142.0,0.0,True
heroku.com,18.67.110.64,0.669,1.03,0.7605,0.7035,18.67.110.64,0.688,0.01550000000000007,True
hgtv.com,18.155.202.109,143.0,143.0,143.0,143.0,18.155.202.109,143.0,0.0,True
hindustantimes.com,23.204.66.28,0.613,0.678,0.6355999999999999,0.629,23.215.56.224,0.3195,0.3095,False
hitta.se,18.155.202.97,143.0,143.0,143.0,143.0,18.155.202.97,143.0,0.0,True
hk01.com,18.67.93.84,0.663,0.815,0.7013,0.6915,18.67.93.84,0.6915,0.0,True
hln.be,23.40.52.13,0.226,1.12,0.3440999999999999,0.2585,23.40.52.13,0.2585,0.0,True
