website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,13.226.94.83,0.831,1.19,0.9234,0.8845000000000001,13.226.94.90,0.7395,0.14500000000000002,False
20min.ch,3.171.139.121,0.75,1.98,0.9342,0.824,3.171.139.121,0.824,0.0,True
20minutes.fr,18.164.124.113,1.39,1.58,1.4469999999999998,1.435,18.164.124.10,1.3849999999999998,0.050000000000000266,False
20minutos.es,108.138.128.99,1.24,1.56,1.2899999999999998,1.26,18.173.219.116,0.73,0.53,False
24.hu,13.33.252.121,1.22,1.48,1.3050000000000002,1.29,13.33.252.121,1.27,0.020000000000000018,True
2dehands.be,13.33.252.25,1.39,2.59,1.566,1.43,13.33.252.74,1.42,0.010000000000000009,False
365scores.com,108.138.128.23,1.36,2.64,1.5459999999999998,1.44,108.138.128.23,1.44,0.0,True
3ds.com,3.168.102.80,0.936,1.96,1.0862,0.966,3.168.102.59,0.8135,0.15249999999999997,False
3lift.com,13.226.34.103,0.856,2.14,1.0808,0.961,13.226.34.78,0.877,0.08399999999999996,False
4wps.net,108.139.47.27,1.39,3.12,1.597,1.43,108.139.47.2,1.34,0.08999999999999986,False
500px.com,13.226.34.29,1.12,2.16,1.326,1.1749999999999998,13.226.34.92,0.9775,0.1974999999999998,False
8ballpool.com,108.139.29.89,1.33,1.64,1.377,1.35,108.139.29.61,1.235,0.11499999999999999,False
99acres.com,104.117.182.179,3.95,4.32,4.017,3.97,104.117.182.194,1.62,2.35,False
a-mo.net,18.173.132.23,0.835,0.95,0.8835,0.8825000000000001,18.173.132.119,0.73,0.15250000000000008,False
a47b.com,108.138.113.26,1.31,2.15,1.437,1.35,108.138.113.26,1.35,0.0,True
aa.com,23.48.146.168,0.887,1.73,0.9944,0.9135,23.48.146.168,0.9135,0.0,True
aajtak.in,104.117.182.17,4.01,4.24,4.063000000000001,4.045,23.57.90.73,1.01,3.035,False
abc.com,18.164.96.24,1.3,1.68,1.376,1.33,18.164.96.78,1.315,0.015000000000000124,False
abc.es,23.44.111.23,1.02,1.13,1.059,1.045,23.44.111.23,1.045,0.0,True
abc.net.au,23.217.172.130,0.875,1.02,0.9809,0.987,23.217.172.130,0.987,0.0,True
aboutads.info,18.173.132.91,0.735,0.88,0.7774,0.769,18.173.132.70,0.7395,0.02949999999999997,False
aboutamazon.com,52.85.61.41,0.88,1.87,1.0291,0.9325,52.85.61.51,0.903,0.02949999999999997,False
abplive.com,23.40.179.200,1.01,1.2,1.054,1.045,23.223.209.52,0.9905,0.05449999999999988,False
academia.edu,18.164.116.85,1.22,1.26,1.2479999999999998,1.25,18.164.116.85,1.25,0.0,True
acast.com,13.249.91.59,0.926,2.01,1.0761999999999998,0.969,13.249.91.59,0.969,0.0,True
accuweather.com,23.201.163.89,1.0,1.16,1.067,1.0550000000000002,23.201.163.89,1.0045,0.05050000000000021,True
activision.com,96.16.25.39,1.65,2.69,1.843,1.755,23.51.57.218,1.185,0.5699999999999998,False
ad.nl,23.206.172.18,0.961,1.08,1.0138,1.01,23.206.172.18,1.01,0.0,True
ada.support,13.225.63.76,0.892,2.02,1.15,0.9935,13.225.63.100,0.919,0.07450000000000001,False
adda247.com,18.164.96.79,1.28,1.39,1.336,1.335,18.164.96.79,1.33,0.004999999999999893,True
