website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
intercom.com,18.245.60.115,0.682,1.36,0.7777999999999998,0.696,18.245.60.115,0.696,0.0,True
intercom.io,18.245.60.115,0.678,1.09,0.7990999999999999,0.7475,18.245.60.115,0.7475,0.0,True
intercomcdn.com,13.35.58.55,0.707,1.87,0.9742,0.7929999999999999,13.35.58.119,0.7675000000000001,0.025499999999999856,False
intuit.com,23.56.203.151,0.477,0.539,0.5064,0.5075000000000001,23.56.203.151,0.5075000000000001,0.0,True
inverse.com,18.172.112.91,0.495,1.37,0.6520000000000001,0.518,18.172.112.91,0.513,0.0050000000000000044,True
iowa.gov,23.50.131.143,0.486,1.6,0.718,0.5355000000000001,23.50.131.143,0.535,0.000500000000000056,True
is.fi,13.224.189.89,0.763,1.38,0.8539,0.7975000000000001,13.224.189.122,0.773,0.024500000000000077,False
israelhayom.co.il,23.218.216.142,88.0,88.2,88.05,88.0,23.218.217.20,85.0,3.0,False
istockphoto.com,52.222.236.27,0.515,1.79,0.7150000000000001,0.5680000000000001,52.222.236.7,0.5609999999999999,0.007000000000000117,False
itatiaia.com.br,143.204.98.72,0.955,1.96,1.1119,0.997,143.204.98.108,0.9445,0.05249999999999999,False
itau.com.br,2.18.64.17,0.959,2.11,1.2015999999999998,1.005,2.18.64.17,1.005,0.0,True
iterable.com,13.35.58.39,0.714,1.97,0.8849,0.763,13.35.58.39,0.763,0.0,True
jansatta.com,184.30.21.202,0.837,1.88,1.0024000000000002,0.8654999999999999,23.218.210.27,0.8135,0.051999999999999935,False
java.com,92.123.104.65,0.529,1.48,0.6441000000000001,0.555,92.123.104.18,0.535,0.020000000000000018,False
jcpenney.com,23.212.210.157,0.532,0.631,0.5562000000000001,0.545,23.212.210.157,0.545,0.0,True
jetbrains.com,18.244.18.7,0.481,42.5,4.7995,0.561,18.244.18.98,0.494,0.06700000000000006,False
jiocinema.com,2.21.20.9,0.278,0.334,0.3002000000000001,0.3005,2.21.20.9,0.3005,0.0,True
joann.com,104.126.37.176,0.768,8.02,1.6339,0.8045,2.21.20.6,0.5335000000000001,0.2709999999999999,False
johnlewis.com,23.36.162.12,0.279,0.859,0.3734,0.301,23.36.162.81,0.2945,0.006500000000000006,False
jorudan.co.jp,143.204.98.78,0.923,4.55,1.4286,0.9585,3.161.82.94,0.523,0.4355,False
journaldemontreal.com,13.224.189.93,0.745,0.806,0.7863,0.789,108.138.26.26,0.33,0.459,False
jra.jp,23.50.131.141,0.495,0.899,0.5845,0.5175000000000001,23.50.131.141,0.4985,0.019000000000000072,True
justdial.com,23.45.102.22,0.466,0.803,0.5331,0.506,23.45.102.22,0.506,0.0,True
justgiving.com,143.204.215.5,1.02,2.2,1.1989999999999998,1.06,3.161.82.108,0.5055000000000001,0.5545,False
jw.org,23.56.203.60,0.485,1.39,0.5964000000000002,0.511,23.56.203.60,0.511,0.0,True
jwpltx.com,13.225.78.36,0.983,1.09,1.0211,1.015,13.225.78.36,1.015,0.0,True
jwpsrv.com,13.225.87.226,0.975,1.92,1.1414,1.03,3.161.81.138,0.5385,0.49150000000000005,False
kabum.com.br,52.222.236.31,0.302,5.84,0.9458,0.319,52.222.236.31,0.319,0.0,True
kahoot.com,18.172.112.126,0.492,0.553,0.5235000000000001,0.5265,18.244.18.29,0.2945,0.23199999999999998,False
kahoot.it,3.161.82.42,0.468,2.11,0.7462000000000001,0.499,3.161.82.42,0.499,0.0,True
kakuyomu.jp,52.222.236.46,0.471,1.43,0.6051,0.515,52.222.236.46,0.5055000000000001,0.009499999999999953,True
kamigame.jp,18.172.112.73,0.714,0.793,0.7504000000000001,0.7464999999999999,18.172.112.82,0.722,0.024499999999999966,False
karte.io,18.173.205.34,0.49,1.13,0.6266,0.5265,18.173.205.34,0.5265,0.0,True
kb4compliance.com,143.204.215.94,1.07,7.11,1.739,1.11,143.204.215.94,1.065,0.04500000000000015,True
kbb.com,23.192.162.120,12.5,12.7,12.53,12.5,23.192.162.120,12.5,0.0,True
keirin.jp,18.244.18.111,0.488,0.526,0.5020000000000001,0.497,18.244.18.111,0.497,0.0,True
khanacademy.org,18.66.122.125,0.747,1.43,0.8818000000000001,0.7835000000000001,18.245.31.129,0.502,0.2815000000000001,False
klaviyo.com,18.66.122.6,0.731,1.1,0.8049000000000002,0.769,18.66.122.6,0.769,0.0,True
knowbe4.com,13.32.99.28,0.738,2.42,0.9374,0.7735000000000001,13.32.99.28,0.7735000000000001,0.0,True
kohls.com,92.123.104.17,0.495,1.59,0.6416000000000001,0.5405,92.123.104.17,0.5405,0.0,True
kompas.com,18.245.86.60,0.703,0.84,0.7651,0.7615000000000001,18.245.86.60,0.7435,0.018000000000000016,True
kpmg.com,2.21.20.8,0.525,2.02,0.7409,0.551,2.21.20.8,0.551,0.0,True
krone.at,18.66.147.36,0.518,1.22,0.6721999999999999,0.629,18.245.46.59,0.368,0.261,False
