website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
cashify.in,13.226.94.67,0.888,1.86,1.0218,0.9325,13.226.94.9,0.8554999999999999,0.07700000000000007,False
casino365online.ws,13.249.91.82,0.82,0.928,0.8775999999999999,0.8765000000000001,13.249.91.82,0.876,0.000500000000000056,True
casinoenvivo.club,3.171.139.30,0.921,1.57,1.0232,0.9545,3.171.139.84,0.92,0.034499999999999975,False
catawiki.com,23.50.75.197,1.55,1.7,1.625,1.62,23.204.12.25,0.7645,0.8555000000000001,False
cbc.ca,23.201.179.104,0.729,0.951,0.7829999999999999,0.768,23.201.179.104,0.768,0.0,True
cbp.gov,23.204.25.176,0.947,1.49,1.0528,0.9925,23.204.25.176,0.9595,0.03300000000000003,True
ccleaner.com,18.238.80.82,0.893,0.986,0.9358,0.935,18.238.80.74,0.8795,0.055500000000000105,False
cdn4image.com,116.202.160.181,90.6,91.4,90.73,90.65,157.90.90.133,89.5,1.1500000000000057,False
cedexis.com,18.173.132.89,0.902,0.999,0.9484,0.9375,18.173.132.89,0.9375,0.0,True
celtra.com,13.33.252.16,1.17,2.36,1.375,1.275,13.33.252.16,1.235,0.039999999999999813,True
celuapuestas.io,18.238.80.59,0.901,1.03,0.9627,0.963,18.238.80.71,0.9365,0.026499999999999968,False
certalicup.com,108.139.29.106,1.03,1.86,1.149,1.0750000000000002,108.139.29.106,1.065,0.010000000000000231,True
chanel.com,23.48.224.104,0.997,1.1,1.0427,1.035,23.48.224.104,1.035,0.0,True
chartbeat.com,108.138.106.39,1.19,2.16,1.318,1.225,108.138.106.58,1.06,0.16500000000000004,False
chartboost.com,18.164.124.72,1.01,1.17,1.067,1.06,18.164.124.72,1.06,0.0,True
checkpoint.com,13.225.63.129,0.912,1.37,1.019,0.9795,13.225.63.129,0.941,0.03850000000000009,True
cheezburger.com,18.238.80.118,0.817,0.945,0.8644000000000001,0.8574999999999999,18.238.80.118,0.8574999999999999,0.0,True
chewy.com,23.56.162.136,1.03,1.15,1.0950000000000002,1.09,23.56.162.136,1.06,0.030000000000000027,True
chime.aws,54.230.242.23,0.879,1.76,1.0084000000000002,0.9315,54.230.242.23,0.9315,0.0,True
chimpstatic.com,23.201.162.56,0.885,1.56,1.0133,0.9705,23.201.162.56,0.7615000000000001,0.20899999999999996,True
chip.de,23.48.224.7,0.931,1.09,0.988,0.9845,23.48.224.7,0.9845,0.0,True
choicehotels.com,23.48.224.100,0.899,1.78,1.0624,0.9865,23.48.224.100,0.9865,0.0,True
chronicle.com,108.138.106.90,1.01,2.16,1.184,1.065,108.138.106.90,1.065,0.0,True
cia.gov,23.207.8.62,1.7,2.16,1.7880000000000005,1.755,23.207.8.62,1.735,0.019999999999999796,True
