website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
tvn24.pl,3.165.82.49,0.807,1.41,0.9126,0.8574999999999999,3.165.82.49,0.8574999999999999,0.0,True
tvtropes.org,108.156.22.129,193.0,194.0,193.1,193.0,18.173.205.13,156.0,37.0,False
tycsports.com,52.85.49.102,178.0,179.0,178.1,178.0,18.66.147.22,158.0,20.0,False
typeform.com,13.35.210.71,0.842,1.58,0.9393,0.87,13.35.210.71,0.87,0.0,True
udn.com,23.210.100.170,0.813,0.939,0.8583999999999999,0.855,23.210.100.170,0.855,0.0,True
ui.com,13.227.254.103,1.37,2.33,1.509,1.4249999999999998,13.227.254.103,1.4249999999999998,0.0,True
uisp.com,13.227.254.67,1.38,2.28,1.51,1.43,13.33.88.77,0.884,0.5459999999999999,False
ulta.com,23.54.58.104,0.816,1.31,0.8888,0.84,23.54.58.104,0.828,0.01200000000000001,True
umd.edu,3.167.56.89,239.0,240.0,239.1,239.0,3.167.56.116,238.0,1.0,False
unacademy.com,3.165.102.34,0.866,1.84,0.9957,0.914,3.165.102.34,0.914,0.0,True
underarmour.com,18.160.10.54,238.0,239.0,238.1,238.0,18.160.10.44,229.0,9.0,False
united.com,23.75.214.65,0.768,1.87,0.9361,0.8325,23.75.214.65,0.812,0.020499999999999963,True
unity.com,23.210.250.177,0.807,1.23,0.876,0.836,23.49.60.57,0.586,0.25,False
unity3d.com,23.203.73.209,0.831,1.09,0.8741999999999999,0.851,23.203.73.209,0.851,0.0,True
unixtools.org,13.33.88.38,0.886,2.08,1.0353,0.918,13.33.88.38,0.918,0.0,True
unotv.com,125.252.218.204,0.873,2.04,1.0264,0.909,125.252.218.204,0.8965000000000001,0.012499999999999956,True
unrulymedia.com,13.35.238.90,0.815,1.56,0.9563,0.85,13.35.238.90,0.85,0.0,True
urban-vpn.com,13.33.88.33,0.785,2.66,1.025,0.841,13.33.88.33,0.841,0.0,True
usaa.com,23.210.107.144,0.814,1.23,0.9277,0.909,23.210.107.144,0.905,0.0040000000000000036,True
usabilla.com,13.33.88.78,0.842,1.67,0.9609,0.8835,13.33.88.78,0.8835,0.0,True
usajobs.gov,23.210.101.247,0.843,1.81,1.0771,0.944,23.210.101.247,0.9155,0.02849999999999997,True
uscis.gov,125.252.216.169,0.755,3.62,1.0839000000000003,0.8055000000000001,125.252.216.169,0.764,0.04150000000000009,True
uscourts.gov,23.50.89.13,0.819,1.57,0.9142,0.839,23.50.89.13,0.8274999999999999,0.011500000000000066,True
userway.org,18.155.68.60,1.36,2.57,1.526,1.4049999999999998,18.155.68.66,1.395,0.009999999999999787,False
usnews.com,23.202.135.50,0.726,1.24,0.7983,0.748,23.202.135.50,0.748,0.0,True
vaidebet.com,13.33.28.58,0.886,2.31,1.1088,0.979,13.33.28.58,0.979,0.0,True
vanderbilt.edu,18.67.65.119,236.0,236.0,236.0,236.0,18.67.65.38,230.0,6.0,False
vaultdcr.com,13.227.254.60,1.47,3.01,1.6869999999999998,1.525,13.227.254.23,1.485,0.039999999999999813,False
vedantu.com,13.227.254.14,1.44,2.01,1.579,1.505,13.227.254.14,1.505,0.0,True
verkada.com,108.156.133.60,0.908,1.99,1.0867,0.9645,108.156.133.60,0.9415,0.02300000000000002,True
very.co.uk,23.54.56.90,0.863,1.82,0.9919999999999998,0.8845000000000001,23.207.180.169,0.595,0.2895000000000001,False
viber.com,125.252.217.147,0.797,1.5,0.8956,0.8254999999999999,125.252.217.147,0.8254999999999999,0.0,True
vidio.com,13.35.238.15,0.821,1.72,0.9392,0.8565,13.35.238.15,0.85,0.006500000000000061,True
voanews.com,96.17.180.46,0.472,1.29,0.5806,0.5065,96.17.180.46,0.5065,0.0,True
volcanoh5game.com,13.225.4.39,1.4,2.96,1.6149999999999998,1.465,13.225.4.39,1.465,0.0,True
volkskrant.nl,96.17.96.13,0.863,2.82,1.1243999999999998,0.943,23.209.46.155,0.934,0.008999999999999897,False
vrbo.com,23.32.29.91,0.484,1.51,0.6364,0.5385,23.32.29.91,0.5385,0.0,True
vudu.com,23.32.29.90,0.533,1.62,0.6906000000000001,0.586,23.32.29.90,0.586,0.0,True
