website,cdn,min,max,mean,median
uisp.com,18.65.244.24,0.393,0.889,0.5171,0.4875
uisp.com,18.172.112.87,267.0,267.0,267.0,267.0
uisp.com,18.239.69.19,267.0,273.0,269.2,268.0
uisp.com,13.33.88.77,92.7,93.5,92.83,92.8
uisp.com,18.238.192.88,143.0,143.0,143.0,143.0
uisp.com,3.167.56.42,212.0,213.0,212.1,212.0
uisp.com,13.249.91.53,209.0,209.0,209.0,209.0
uisp.com,18.238.192.91,143.0,144.0,143.1,143.0
uisp.com,13.33.165.23,208.0,208.0,208.0,208.0
uisp.com,18.172.112.79,268.0,268.0,268.0,268.0
uisp.com,13.249.91.20,208.0,209.0,208.6,209.0
uisp.com,18.65.244.24,0.379,0.534,0.42519999999999997,0.414
uisp.com,18.66.57.64,271.0,271.0,271.0,271.0
clevertap-prod.com,18.65.244.83,0.278,0.373,0.32249999999999995,0.324
clevertap-prod.com,18.65.244.104,0.298,0.627,0.3711,0.3355
clevertap-prod.com,18.67.76.11,213.0,213.0,213.0,213.0
clevertap-prod.com,18.245.46.67,244.0,245.0,244.6,245.0
clevertap-prod.com,18.238.243.90,246.0,248.0,247.0,247.0
clevertap-prod.com,18.67.17.66,210.0,210.0,210.0,210.0
clevertap-prod.com,3.168.122.95,207.0,207.0,207.0,207.0
clevertap-prod.com,3.168.122.8,208.0,208.0,208.0,208.0
clevertap-prod.com,18.238.192.11,143.0,144.0,143.1,143.0
clevertap-prod.com,18.172.78.8,263.0,263.0,263.0,263.0
clevertap-prod.com,3.165.82.58,91.0,91.7,91.15,91.1
clevertap-prod.com,18.245.46.129,253.0,253.0,253.0,253.0
ihg.com,23.32.5.152,0.25,0.524,0.348,0.34450000000000003
ihg.com,2.16.27.213,261.0,262.0,261.1,261.0
ihg.com,23.1.33.216,199.0,199.0,199.0,199.0
ihg.com,23.32.5.159,0.31,1.07,0.4459000000000001,0.3615
ihg.com,2.18.27.76,247.0,248.0,247.1,247.0
ihg.com,92.123.104.44,281.0,282.0,281.4,281.0
ihg.com,23.3.70.48,129.0,130.0,129.1,129.0
ihg.com,125.56.219.17,91.6,92.0,91.66,91.6
ihg.com,69.192.139.86,143.0,144.0,143.1,143.0
ihg.com,23.222.17.239,202.0,203.0,202.1,202.0
ihg.com,23.43.85.9,206.0,206.0,206.0,206.0
ihg.com,23.44.201.26,207.0,207.0,207.0,207.0
ihg.com,23.62.46.146,143.0,143.0,143.0,143.0
ihg.com,23.43.85.24,206.0,206.0,206.0,206.0
dhs.gov,23.63.53.251,14.4,14.5,14.48,14.5
dhs.gov,23.213.101.253,256.0,257.0,256.1,256.0
dhs.gov,23.201.247.200,244.0,244.0,244.0,244.0
dhs.gov,23.5.8.183,150.0,150.0,150.0,150.0
dhs.gov,23.218.55.205,247.0,247.0,247.0,247.0
dhs.gov,23.194.5.176,285.0,285.0,285.0,285.0
dhs.gov,23.201.181.246,206.0,206.0,206.0,206.0
dhs.gov,184.26.201.110,199.0,200.0,199.1,199.0
dhs.gov,104.85.225.169,11.9,12.5,11.960000000000003,11.9
dhs.gov,23.210.105.227,92.0,92.7,92.08000000000001,92.0
dhs.gov,23.214.101.169,182.0,182.0,182.0,182.0
nextdoor.com,18.244.214.112,143.0,143.0,143.0,143.0
nextdoor.com,18.239.83.90,245.0,246.0,245.1,245.0
nextdoor.com,52.222.214.30,271.0,272.0,271.1,271.0
nextdoor.com,18.244.214.12,143.0,144.0,143.1,143.0
nextdoor.com,18.67.39.77,208.0,208.0,208.0,208.0
nextdoor.com,3.162.125.112,210.0,211.0,210.3,210.0
nextdoor.com,18.165.122.78,270.0,270.0,270.0,270.0
nextdoor.com,52.222.214.63,261.0,262.0,261.1,261.0
nextdoor.com,13.226.34.22,209.0,210.0,209.2,209.0
nextdoor.com,13.226.34.84,208.0,209.0,208.8,209.0
nextdoor.com,18.165.122.31,292.0,293.0,292.1,292.0
nextdoor.com,18.244.214.82,143.0,143.0,143.0,143.0
4wps.net,18.67.110.61,0.818,1.03,0.8946,0.8915
4wps.net,18.67.110.44,0.781,0.936,0.8586,0.857
4wps.net,108.139.47.2,208.0,209.0,208.1,208.0
4wps.net,108.139.47.27,210.0,210.0,210.0,210.0
4wps.net,108.138.64.49,213.0,213.0,213.0,213.0
4wps.net,18.172.78.10,266.0,266.0,266.0,266.0
4wps.net,108.139.47.82,209.0,209.0,209.0,209.0
4wps.net,108.139.10.8,143.0,144.0,143.1,143.0
4wps.net,13.33.165.66,209.0,210.0,209.4,209.0
4wps.net,143.204.98.100,267.0,267.0,267.0,267.0
4wps.net,143.204.98.16,267.0,273.0,267.7,267.0
4wps.net,108.157.254.41,91.0,91.6,91.13,91.1
4wps.net,18.65.39.86,284.0,285.0,284.1,284.0
4wps.net,108.139.10.2,143.0,143.0,143.0,143.0
oculus.com,157.240.8.49,0.27,0.765,0.3494,0.309
oculus.com,157.240.22.49,143.0,143.0,143.0,143.0
oculus.com,157.240.235.57,91.9,92.0,91.94,91.9
oculus.com,157.240.214.54,314.0,315.0,314.9,315.0
oculus.com,157.240.8.49,0.284,0.327,0.30189999999999995,0.3045
oculus.com,157.240.241.55,206.0,206.0,206.0,206.0
oculus.com,31.13.80.49,200.0,210.0,201.0,200.0
oculus.com,31.13.66.48,214.0,214.0,214.0,214.0
oculus.com,31.13.71.51,206.0,207.0,206.2,206.0
oculus.com,157.240.252.53,317.0,318.0,317.1,317.0
oculus.com,157.240.237.54,268.0,268.0,268.0,268.0
oculus.com,157.240.247.54,251.0,251.0,251.0,251.0
axios.com,18.65.244.128,0.367,0.956,0.46159999999999995,0.41400000000000003
axios.com,18.239.50.88,251.0,251.0,251.0,251.0
axios.com,13.249.91.42,209.0,210.0,209.3,209.0
axios.com,65.8.161.89,143.0,144.0,143.1,143.0
axios.com,18.65.244.82,0.373,1.07,0.4786,0.41100000000000003
axios.com,18.244.18.60,266.0,266.0,266.0,266.0
axios.com,3.162.125.47,210.0,211.0,210.1,210.0
axios.com,13.249.91.22,208.0,209.0,208.1,208.0
axios.com,18.67.17.44,209.0,211.0,209.3,209.0
axios.com,13.33.88.117,92.5,92.7,92.59,92.6
axios.com,18.244.18.97,254.0,254.0,254.0,254.0
axios.com,108.158.61.36,257.0,258.0,257.1,257.0
axios.com,65.8.161.98,143.0,144.0,143.1,143.0
howstuffworks.com,18.67.110.17,0.84,1.47,0.9525,0.878
howstuffworks.com,18.238.192.22,143.0,144.0,143.1,143.0
howstuffworks.com,18.245.86.64,244.0,244.0,244.0,244.0
howstuffworks.com,18.238.192.122,143.0,143.0,143.0,143.0
howstuffworks.com,3.168.102.5,207.0,208.0,207.2,207.0
howstuffworks.com,108.159.80.27,152.0,153.0,152.1,152.0
howstuffworks.com,3.168.102.13,207.0,207.0,207.0,207.0
howstuffworks.com,13.33.30.29,92.5,93.2,92.65,92.6
howstuffworks.com,18.67.110.24,0.698,1.28,0.7676000000000001,0.7055
howstuffworks.com,18.239.69.81,249.0,250.0,249.1,249.0
howstuffworks.com,18.160.41.11,212.0,212.0,212.0,212.0
howstuffworks.com,18.67.39.83,208.0,208.0,208.0,208.0
howstuffworks.com,18.245.86.14,254.0,255.0,254.3,254.0
peacocktv.com,23.1.240.138,0.24,0.359,0.2778999999999999,0.2625
peacocktv.com,104.117.182.74,205.0,205.0,205.0,205.0
peacocktv.com,23.62.46.101,143.0,143.0,143.0,143.0
peacocktv.com,104.110.191.191,246.0,247.0,246.9,247.0
peacocktv.com,184.24.77.64,280.0,280.0,280.0,280.0
peacocktv.com,2.16.241.8,244.0,245.0,244.2,244.0
peacocktv.com,23.40.179.200,206.0,207.0,206.9,207.0
peacocktv.com,2.18.190.136,255.0,273.0,256.8,255.0
peacocktv.com,23.49.60.43,95.1,95.4,95.14000000000001,95.1
peacocktv.com,23.64.114.207,192.0,192.0,192.0,192.0
peacocktv.com,104.117.182.34,205.0,205.0,205.0,205.0
peacocktv.com,23.62.46.102,143.0,143.0,143.0,143.0
peacocktv.com,23.49.60.209,95.2,95.6,95.28,95.25
peacocktv.com,125.56.205.179,0.755,1.26,0.8586,0.8055000000000001
iterable.com,108.158.20.125,0.812,1.3,0.9408,0.865
iterable.com,18.67.17.126,208.0,208.0,208.0,208.0
iterable.com,108.138.246.79,143.0,143.0,143.0,143.0
iterable.com,18.238.55.52,208.0,208.0,208.0,208.0
iterable.com,13.33.30.72,92.6,93.3,92.74000000000001,92.7
iterable.com,18.239.18.16,265.0,265.0,265.0,265.0
iterable.com,18.238.55.6,207.0,207.0,207.0,207.0
iterable.com,13.35.58.113,254.0,255.0,254.1,254.0
iterable.com,108.138.246.14,143.0,143.0,143.0,143.0
iterable.com,18.239.142.58,264.0,265.0,264.1,264.0
iterable.com,108.158.20.125,0.831,1.19,0.8892,0.8465
iterable.com,18.160.41.25,214.0,214.0,214.0,214.0
iterable.com,18.238.55.43,208.0,208.0,208.0,208.0
cedexis.com,18.155.202.32,143.0,143.0,143.0,143.0
cedexis.com,99.84.191.122,212.0,213.0,212.1,212.0
cedexis.com,18.239.18.111,268.0,268.0,268.0,268.0
cedexis.com,18.173.132.89,207.0,207.0,207.0,207.0
cedexis.com,18.173.121.111,143.0,143.0,143.0,143.0
cedexis.com,3.161.82.63,244.0,245.0,244.1,244.0
cedexis.com,18.165.122.82,269.0,271.0,269.3,269.0
cedexis.com,18.173.121.31,143.0,143.0,143.0,143.0
cedexis.com,18.67.17.37,209.0,209.0,209.0,209.0
cedexis.com,13.226.2.105,268.0,269.0,268.1,268.0
cedexis.com,3.161.82.20,246.0,246.0,246.0,246.0
gallup.com,18.67.93.2,0.826,1.28,0.8986000000000001,0.8614999999999999
gallup.com,108.138.246.92,142.0,143.0,142.5,142.5
gallup.com,3.162.103.24,209.0,210.0,209.2,209.0
gallup.com,99.86.4.13,268.0,268.0,268.0,268.0
gallup.com,18.67.17.47,208.0,209.0,208.1,208.0
gallup.com,108.138.246.32,143.0,143.0,143.0,143.0
gallup.com,18.239.83.65,247.0,247.0,247.0,247.0
