website,cdn,min,max,mean,median
uisp.com,13.227.254.67,1.38,2.28,1.51,1.43
uisp.com,18.172.112.87,159.0,160.0,159.1,159.0
uisp.com,18.239.69.19,161.0,162.0,161.1,161.0
uisp.com,13.33.88.77,0.827,1.81,0.9685,0.884
uisp.com,18.238.192.88,174.0,175.0,174.1,174.0
uisp.com,3.167.56.42,235.0,236.0,235.1,235.0
uisp.com,13.249.91.53,225.0,227.0,225.8,226.0
uisp.com,18.238.192.91,239.0,240.0,239.1,239.0
uisp.com,13.33.165.23,243.0,243.0,243.0,243.0
uisp.com,18.172.112.79,162.0,162.0,162.0,162.0
uisp.com,13.249.91.20,213.0,214.0,213.6,214.0
uisp.com,18.65.244.24,95.1,95.7,95.19000000000001,95.1
uisp.com,18.66.57.64,234.0,234.0,234.0,234.0
clevertap-prod.com,3.165.82.81,0.843,1.59,0.9501999999999999,0.88
clevertap-prod.com,18.65.244.104,91.2,91.7,91.25000000000001,91.2
clevertap-prod.com,18.67.76.11,228.0,228.0,228.0,228.0
clevertap-prod.com,18.245.46.67,168.0,168.0,168.0,168.0
clevertap-prod.com,18.238.243.90,166.0,166.0,166.0,166.0
clevertap-prod.com,18.67.17.66,229.0,229.0,229.0,229.0
clevertap-prod.com,3.168.122.95,227.0,228.0,227.1,227.0
clevertap-prod.com,3.168.122.8,225.0,225.0,225.0,225.0
clevertap-prod.com,18.238.192.11,177.0,178.0,177.9,178.0
clevertap-prod.com,18.172.78.8,242.0,242.0,242.0,242.0
clevertap-prod.com,3.165.82.58,0.853,1.83,0.9955,0.9155
clevertap-prod.com,18.245.46.129,158.0,158.0,158.0,158.0
ihg.com,125.56.219.17,0.466,2.2,0.6799000000000001,0.519
ihg.com,2.16.27.213,175.0,176.0,175.1,175.0
ihg.com,23.1.33.216,232.0,233.0,232.1,232.0
ihg.com,23.32.5.159,97.7,97.7,97.70000000000002,97.7
ihg.com,2.18.27.76,182.0,183.0,182.1,182.0
ihg.com,92.123.104.44,158.0,159.0,158.1,158.0
ihg.com,23.3.70.48,38.4,39.5,38.56,38.5
ihg.com,125.56.219.17,0.442,1.5,0.5952,0.502
ihg.com,69.192.139.86,165.0,166.0,165.1,165.0
ihg.com,23.222.17.239,212.0,213.0,212.1,212.0
ihg.com,23.43.85.9,287.0,287.0,287.0,287.0
ihg.com,23.44.201.26,226.0,226.0,226.0,226.0
ihg.com,23.62.46.146,167.0,167.0,167.0,167.0
ihg.com,23.43.85.24,221.0,221.0,221.0,221.0
dhs.gov,23.210.105.227,0.821,1.06,0.8987999999999999,0.8795
dhs.gov,23.213.101.253,162.0,162.0,162.0,162.0
dhs.gov,23.201.247.200,171.0,172.0,171.1,171.0
dhs.gov,23.5.8.183,170.0,171.0,170.1,170.0
dhs.gov,23.218.55.205,166.0,166.0,166.0,166.0
dhs.gov,23.194.5.176,166.0,167.0,166.1,166.0
dhs.gov,23.201.181.246,227.0,228.0,227.1,227.0
dhs.gov,184.26.201.110,217.0,218.0,217.1,217.0
dhs.gov,104.85.225.169,86.9,87.9,87.06,87.0
dhs.gov,23.210.105.227,0.855,1.84,0.9802,0.8815
dhs.gov,23.214.101.169,168.0,168.0,168.0,168.0
nextdoor.com,18.165.122.55,180.0,180.0,180.0,180.0
nextdoor.com,18.239.83.90,166.0,166.0,166.0,166.0
nextdoor.com,52.222.214.30,188.0,189.0,188.2,188.0
nextdoor.com,18.244.214.12,227.0,228.0,227.8,228.0
nextdoor.com,18.67.39.77,228.0,228.0,228.0,228.0
nextdoor.com,3.162.125.112,227.0,228.0,227.1,227.0
nextdoor.com,18.165.122.78,181.0,181.0,181.0,181.0
nextdoor.com,52.222.214.63,168.0,169.0,168.1,168.0
nextdoor.com,13.226.34.22,223.0,224.0,223.1,223.0
nextdoor.com,13.226.34.84,218.0,219.0,218.4,218.0
nextdoor.com,18.165.122.31,187.0,188.0,187.1,187.0
nextdoor.com,18.244.214.82,180.0,180.0,180.0,180.0
4wps.net,108.157.254.41,0.854,1.65,0.9590000000000002,0.8885000000000001
4wps.net,18.67.110.44,91.2,91.6,91.26000000000002,91.2
4wps.net,108.139.47.2,224.0,225.0,224.1,224.0
4wps.net,108.139.47.27,225.0,225.0,225.0,225.0
4wps.net,108.138.64.49,238.0,238.0,238.0,238.0
4wps.net,18.172.78.10,61.7,62.8,61.919999999999995,61.8
4wps.net,108.139.47.82,218.0,219.0,218.2,218.0
4wps.net,108.139.10.8,178.0,178.0,178.0,178.0
4wps.net,13.33.165.66,224.0,225.0,224.1,224.0
4wps.net,143.204.98.100,159.0,160.0,159.1,159.0
4wps.net,143.204.98.16,171.0,172.0,171.1,171.0
4wps.net,108.157.254.41,0.814,1.76,0.9747,0.8945000000000001
4wps.net,18.65.39.86,164.0,165.0,164.1,164.0
4wps.net,108.139.10.2,174.0,174.0,174.0,174.0
oculus.com,157.240.15.54,0.468,1.38,0.6141,0.5435000000000001
oculus.com,157.240.22.49,176.0,176.0,176.0,176.0
oculus.com,157.240.235.57,1.1,1.4,1.204,1.1549999999999998
oculus.com,157.240.214.54,165.0,166.0,165.3,165.0
oculus.com,157.240.8.49,336.0,336.0,336.0,336.0
oculus.com,157.240.241.55,222.0,222.0,222.0,222.0
oculus.com,31.13.80.49,212.0,213.0,212.1,212.0
oculus.com,31.13.66.48,225.0,225.0,225.0,225.0
oculus.com,31.13.71.51,222.0,222.0,222.0,222.0
oculus.com,157.240.252.53,164.0,165.0,164.1,164.0
oculus.com,157.240.237.54,48.8,49.2,48.92999999999999,48.9
oculus.com,157.240.247.54,168.0,169.0,168.1,168.0
axios.com,18.155.68.100,1.36,2.12,1.482,1.42
axios.com,18.239.50.88,168.0,168.0,168.0,168.0
axios.com,13.249.91.42,291.0,292.0,291.5,291.5
axios.com,65.8.161.89,189.0,190.0,189.1,189.0
axios.com,18.65.244.82,91.1,92.1,91.22,91.1
axios.com,18.244.18.60,162.0,162.0,162.0,162.0
axios.com,3.162.125.47,240.0,241.0,240.1,240.0
axios.com,13.249.91.22,219.0,220.0,219.1,219.0
axios.com,18.67.17.44,238.0,239.0,238.1,238.0
axios.com,13.33.88.117,0.828,0.92,0.8620000000000001,0.8554999999999999
axios.com,18.244.18.97,163.0,163.0,163.0,163.0
axios.com,108.158.61.36,250.0,251.0,250.1,250.0
axios.com,65.8.161.98,173.0,174.0,173.1,173.0
howstuffworks.com,13.33.28.119,0.818,1.95,0.9793999999999998,0.88
howstuffworks.com,18.238.192.22,173.0,174.0,173.1,173.0
howstuffworks.com,18.245.86.64,156.0,157.0,156.5,156.5
howstuffworks.com,18.238.192.122,178.0,178.0,178.0,178.0
howstuffworks.com,3.168.102.5,227.0,229.0,227.2,227.0
howstuffworks.com,108.159.80.27,63.5,64.7,63.730000000000004,63.6
howstuffworks.com,3.168.102.13,226.0,226.0,226.0,226.0
howstuffworks.com,13.33.30.29,0.881,1.72,0.9854999999999998,0.896
howstuffworks.com,18.67.110.24,91.5,92.6,91.69,91.6
howstuffworks.com,18.239.69.81,240.0,240.0,240.0,240.0
howstuffworks.com,18.160.41.11,239.0,239.0,239.0,239.0
howstuffworks.com,18.67.39.83,250.0,250.0,250.0,250.0
howstuffworks.com,18.245.86.14,163.0,163.0,163.0,163.0
peacocktv.com,72.247.127.203,0.532,1.37,0.6848,0.546
peacocktv.com,104.117.182.74,227.0,228.0,227.3,227.0
peacocktv.com,23.62.46.101,165.0,166.0,165.1,165.0
peacocktv.com,104.110.191.191,171.0,171.0,171.0,171.0
peacocktv.com,184.24.77.64,155.0,156.0,155.1,155.0
peacocktv.com,2.16.241.8,159.0,161.0,159.2,159.0
peacocktv.com,23.40.179.200,222.0,223.0,222.1,222.0
peacocktv.com,2.18.190.136,155.0,155.0,155.0,155.0
peacocktv.com,23.49.60.43,0.525,0.597,0.5638,0.5595000000000001
peacocktv.com,23.64.114.207,206.0,207.0,206.8,207.0
peacocktv.com,104.117.182.34,313.0,314.0,313.1,313.0
peacocktv.com,23.62.46.102,234.0,235.0,234.1,234.0
peacocktv.com,23.49.60.209,0.511,0.643,0.5934999999999999,0.6085
peacocktv.com,125.56.205.179,94.8,95.6,94.99,94.9
iterable.com,13.33.28.84,0.796,1.8,0.9349999999999999,0.831
iterable.com,18.67.17.126,236.0,237.0,236.1,236.0
iterable.com,108.138.246.79,179.0,180.0,179.1,179.0
iterable.com,18.238.55.52,283.0,284.0,283.2,283.0
iterable.com,13.33.30.72,0.853,1.76,0.9737,0.8905000000000001
iterable.com,18.239.18.16,179.0,179.0,179.0,179.0
