website,cdn,min,max,mean,media
lidl.com,23.59.199.80,2.23,3.25,2.4,2.31
lidl.com,104.103.246.96,134.0,134.0,134.0,134.0
manyvids.com,3.168.86.50,0.816,2.05,0.9739000000000001,0.848
manyvids.com,18.67.17.92,63.2,64.1,63.290000000000006,63.2
manyvids.com,108.158.20.60,137.0,138.0,137.1,137.0
manyvids.com,3.168.73.41,68.3,69.3,68.46,68.4
manyvids.com,18.66.57.30,240.0,241.0,240.7,241.0
manyvids.com,3.168.73.120,68.6,68.7,68.61,68.6
manyvids.com,13.33.187.55,143.0,144.0,143.3,143.0
manyvids.com,108.157.254.65,179.0,181.0,179.2,179.0
manyvids.com,3.168.86.9,0.794,1.92,0.9426000000000002,0.8354999999999999
manyvids.com,18.238.243.77,142.0,143.0,142.2,142.0
nykaa.com,99.84.238.211,0.809,1.77,0.9386999999999999,0.844
nykaa.com,18.238.49.64,67.1,80.7,69.23,67.1
nykaa.com,18.238.49.106,65.6,65.7,65.64000000000001,65.6
nykaa.com,18.238.49.91,66.4,66.6,66.42,66.4
nykaa.com,143.204.215.13,150.0,151.0,150.3,150.0
nykaa.com,108.156.60.26,140.0,141.0,140.1,140.0
nykaa.com,108.138.7.84,147.0,147.0,147.0,147.0
nykaa.com,99.84.238.157,0.842,1.98,0.9971,0.8755
nykaa.com,13.33.88.71,182.0,183.0,182.1,182.0
nykaa.com,99.84.238.127,0.827,0.896,0.8516,0.848
nykaa.com,18.245.96.34,67.8,69.0,68.0,67.9
nykaa.com,108.158.46.19,243.0,244.0,243.9,244.0
nykaa.com,108.138.64.72,68.6,68.9,68.67,68.6
nykaa.com,18.67.110.11,137.0,138.0,137.1,137.0
company.site,3.168.86.117,0.799,1.52,0.9484999999999999,0.8594999999999999
company.site,3.168.86.117,0.759,0.829,0.7903,0.7925
company.site,18.173.219.39,68.3,69.1,68.46000000000001,68.4
company.site,3.168.86.77,0.787,0.972,0.8318,0.8160000000000001
company.site,18.67.76.29,67.6,67.7,67.61,67.6
company.site,52.222.214.97,151.0,152.0,151.1,151.0
company.site,52.222.214.14,149.0,150.0,149.4,149.0
company.site,108.156.22.39,165.0,166.0,165.1,165.0
company.site,3.168.86.69,0.794,2.23,1.0997000000000001,0.8494999999999999
company.site,18.239.50.12,146.0,147.0,146.1,146.0
company.site,108.156.22.41,166.0,167.0,166.1,166.0
company.site,3.164.92.26,68.1,69.0,68.29,68.2
company.site,18.173.219.123,66.2,67.3,66.38,66.3
reserved.com,23.62.46.166,0.798,1.34,0.931,0.862
reserved.com,2.21.67.16,135.0,136.0,135.1,135.0
reserved.com,2.21.20.13,147.0,147.0,147.0,147.0
reserved.com,23.11.215.144,240.0,241.0,240.4,240.0
reserved.com,23.216.149.137,0.782,1.14,0.8606999999999999,0.826
reserved.com,95.101.74.67,141.0,142.0,141.1,141.0
reserved.com,23.208.29.162,201.0,201.0,201.0,201.0
reserved.com,23.49.248.31,66.8,67.6,66.94,66.9
reserved.com,23.32.29.9,184.0,186.0,184.2,184.0
reserved.com,23.216.149.145,0.786,2.95,1.0506,0.821
reserved.com,23.205.255.228,60.2,60.3,60.24000000000001,60.2
reserved.com,23.48.105.17,60.0,60.4,60.05,60.0
expressvpn.com,108.139.10.101,0.779,1.48,0.8866999999999999,0.8125
expressvpn.com,65.9.66.123,145.0,146.0,145.3,145.0
expressvpn.com,108.139.10.17,0.781,0.911,0.8175000000000001,0.8134999999999999
expressvpn.com,18.65.244.82,137.0,139.0,137.4,137.0
expressvpn.com,18.239.18.75,142.0,142.0,142.0,142.0
expressvpn.com,13.226.94.129,65.9,66.8,66.06,66.0
expressvpn.com,18.172.78.78,249.0,250.0,249.1,249.0
expressvpn.com,13.226.94.52,67.2,67.5,67.23000000000002,67.2
expressvpn.com,108.139.10.101,0.792,1.72,0.9284000000000001,0.831
expressvpn.com,99.84.191.77,66.4,68.6,66.72,66.4
expressvpn.com,13.35.210.110,177.0,178.0,177.1,177.0
expressvpn.com,13.33.165.126,66.9,67.4,66.98,66.9
