website,cdn,min,max,mean,median
marksandspencer.com,184.26.22.4,38.6,67.1,43.46,38.95
marksandspencer.com,23.221.76.81,217.0,218.0,217.1,217.0
marksandspencer.com,23.35.30.5,205.0,205.0,205.0,205.0
marksandspencer.com,96.17.64.67,239.0,240.0,239.4,239.0
marksandspencer.com,23.207.181.242,37.5,37.6,37.55,37.55
marksandspencer.com,104.71.212.90,253.0,253.0,253.0,253.0
marksandspencer.com,23.223.226.9,85.2,85.3,85.21000000000001,85.2
marksandspencer.com,104.115.32.78,145.0,145.0,145.0,145.0
marksandspencer.com,23.220.112.73,137.0,137.0,137.0,137.0
marksandspencer.com,2.18.161.249,178.0,179.0,178.1,178.0
mercari.com,18.172.78.72,13.0,13.0,13.0,13.0
mercari.com,18.238.243.71,143.0,144.0,143.1,143.0
mercari.com,13.227.74.47,208.0,208.0,208.0,208.0
mercari.com,13.33.165.114,281.0,281.0,281.0,281.0
mercari.com,18.172.78.118,13.0,14.1,13.13,13.0
mercari.com,18.238.55.50,277.0,277.0,277.0,277.0
mercari.com,18.67.76.99,241.0,241.0,241.0,241.0
mercari.com,65.9.66.9,135.0,136.0,135.1,135.0
mercari.com,18.238.55.94,274.0,275.0,274.2,274.0
mercari.com,13.227.74.127,225.0,226.0,225.1,225.0
mercari.com,65.9.66.118,140.0,141.0,140.1,140.0
mercari.com,13.35.147.114,129.0,129.0,129.0,129.0
mercari.com,108.157.254.59,38.1,39.0,38.220000000000006,38.1
cdn4image.com,157.90.90.133,145.0,146.0,145.1,145.0
cdn4image.com,157.90.90.133,145.0,145.0,145.0,145.0
cdn4image.com,46.4.15.55,159.0,160.0,159.1,159.0
cdn4image.com,142.132.194.184,161.0,162.0,161.1,161.0
cdn4image.com,116.202.160.181,146.0,147.0,146.1,146.0
cdn4image.com,116.202.116.247,145.0,145.0,145.0,145.0
cdn4image.com,5.9.157.184,150.0,151.0,150.1,150.0
cdn4image.com,157.90.128.108,147.0,148.0,147.2,147.0
cdn4image.com,157.90.91.144,158.0,158.0,158.0,158.0
cdn4image.com,116.202.235.239,154.0,155.0,154.1,154.0
cisa.gov,23.57.57.186,0.944,1.91,1.0892,0.9935
cisa.gov,104.114.101.198,1.25,1.76,1.343,1.28
cisa.gov,23.204.25.176,223.0,223.0,223.0,223.0
cisa.gov,23.38.28.247,140.0,141.0,140.1,140.0
cisa.gov,184.87.40.114,240.0,241.0,240.1,240.0
cisa.gov,125.252.216.169,38.8,39.6,38.94,38.9
cisa.gov,23.38.237.249,222.0,223.0,222.1,222.0
cisa.gov,104.68.17.71,136.0,137.0,136.1,136.0
cisa.gov,104.103.195.88,151.0,151.0,151.0,151.0
cisa.gov,23.67.131.29,134.0,134.0,134.0,134.0
cisa.gov,23.49.82.123,271.0,271.0,271.0,271.0
todoist.com,108.159.61.109,13.0,14.2,13.210000000000003,13.05
todoist.com,18.155.192.111,219.0,220.0,219.1,219.0
todoist.com,18.164.116.15,280.0,281.0,280.1,280.0
todoist.com,18.164.116.30,273.0,273.0,273.0,273.0
todoist.com,143.204.98.129,138.0,138.0,138.0,138.0
todoist.com,108.156.60.67,148.0,148.0,148.0,148.0
todoist.com,18.65.244.102,131.0,132.0,131.1,131.0
todoist.com,13.35.238.112,39.9,40.6,40.08,40.0
todoist.com,18.164.116.22,315.0,316.0,315.1,315.0
todoist.com,108.138.64.26,272.0,273.0,272.1,272.0
todoist.com,108.159.61.116,16.2,16.3,16.23,16.2
todoist.com,18.245.96.30,272.0,273.0,272.1,272.0
20minutes.fr,18.66.57.129,16.2,16.3,16.209999999999997,16.2
20minutes.fr,108.158.32.11,131.0,132.0,131.1,131.0
20minutes.fr,18.66.57.129,16.2,16.8,16.3,16.2
20minutes.fr,18.164.124.10,288.0,289.0,288.1,288.0
20minutes.fr,143.204.98.33,136.0,137.0,136.1,136.0
20minutes.fr,18.165.98.66,267.0,268.0,267.1,267.0
20minutes.fr,143.204.98.16,133.0,133.0,133.0,133.0
20minutes.fr,13.227.74.97,225.0,225.0,225.0,225.0
20minutes.fr,13.227.254.32,38.9,39.0,38.92999999999999,38.9
20minutes.fr,18.67.39.129,268.0,269.0,268.7,269.0
20minutes.fr,108.156.60.69,139.0,140.0,139.7,140.0
20minutes.fr,18.164.124.72,268.0,269.0,268.1,268.0
20minutes.fr,18.164.124.5,291.0,291.0,291.0,291.0
ajax.systems,54.240.162.62,17.5,18.5,17.630000000000003,17.5
ajax.systems,18.239.36.111,132.0,132.0,132.0,132.0
ajax.systems,108.158.20.13,131.0,133.0,131.2,131.0
ajax.systems,108.138.217.52,143.0,144.0,143.1,143.0
ajax.systems,18.245.60.84,130.0,131.0,130.1,130.0
ajax.systems,3.168.122.33,254.0,254.0,254.0,254.0
ajax.systems,3.168.86.97,225.0,226.0,225.1,225.0
ajax.systems,18.155.68.91,40.3,41.1,40.39,40.3
ajax.systems,3.168.122.44,245.0,246.0,245.2,245.0
ajax.systems,3.161.213.41,283.0,283.0,283.0,283.0
ajax.systems,3.168.122.49,282.0,282.0,282.0,282.0
ajax.systems,99.84.203.75,219.0,220.0,219.1,219.0
ajax.systems,18.155.99.74,1.67,2.56,1.823,1.745
ajax.systems,143.204.29.21,255.0,256.0,255.1,255.0
britishcouncil.org,23.53.64.217,16.5,16.6,16.580000000000002,16.6
britishcouncil.org,173.223.116.35,143.0,144.0,143.1,143.0
britishcouncil.org,23.53.64.217,16.5,16.6,16.56,16.6
britishcouncil.org,96.17.60.47,250.0,250.0,250.0,250.0
britishcouncil.org,104.116.108.44,135.0,136.0,135.1,135.0
britishcouncil.org,23.218.108.44,37.9,38.6,37.96999999999999,37.9
britishcouncil.org,104.76.200.46,133.0,133.0,133.0,133.0
britishcouncil.org,23.47.168.116,219.0,219.0,219.0,219.0
britishcouncil.org,104.99.48.50,237.0,238.0,237.2,237.0
britishcouncil.org,104.97.4.38,162.0,162.0,162.0,162.0
britishcouncil.org,23.203.104.68,205.0,206.0,205.1,205.0
abc.com,18.239.111.92,16.3,16.4,16.32,16.3
