website,cdn,min,max,mean,median
uisp.com,13.249.91.103,0.828,1.24,0.9054,0.864
uisp.com,18.172.112.87,89.4,90.1,89.53,89.5
uisp.com,18.239.69.19,77.7,77.8,77.76000000000002,77.8
uisp.com,13.33.88.77,211.0,211.0,211.0,211.0
uisp.com,18.238.192.88,70.0,70.1,70.08,70.1
uisp.com,3.167.56.42,6.36,7.04,6.465999999999999,6.404999999999999
uisp.com,13.249.91.53,0.838,1.43,0.9311000000000001,0.8725
uisp.com,18.238.192.91,62.4,63.0,62.510000000000005,62.5
uisp.com,13.33.165.23,13.8,13.9,13.809999999999999,13.8
uisp.com,18.172.112.79,89.2,89.6,89.3,89.3
uisp.com,13.249.91.20,0.697,0.788,0.7452,0.751
uisp.com,18.65.244.24,272.0,272.0,272.0,272.0
uisp.com,18.66.57.64,259.0,260.0,259.8,260.0
clevertap-prod.com,3.168.122.82,0.839,1.35,0.9442999999999999,0.9115
clevertap-prod.com,18.65.244.104,265.0,265.0,265.0,265.0
clevertap-prod.com,18.67.76.11,6.7,6.98,6.779000000000001,6.74
clevertap-prod.com,18.245.46.67,89.4,89.5,89.49,89.5
clevertap-prod.com,18.238.243.90,77.7,77.8,77.76000000000002,77.8
clevertap-prod.com,18.67.17.66,13.8,13.9,13.830000000000002,13.8
clevertap-prod.com,3.168.122.95,0.681,1.34,0.7771000000000001,0.713
clevertap-prod.com,3.168.122.8,0.842,0.981,0.9001000000000001,0.901
clevertap-prod.com,18.238.192.11,61.7,62.2,61.750000000000014,61.7
clevertap-prod.com,18.172.78.8,264.0,264.0,264.0,264.0
clevertap-prod.com,3.165.82.58,239.0,239.0,239.0,239.0
clevertap-prod.com,18.245.46.129,91.9,92.1,91.92999999999999,91.9
ihg.com,23.57.90.136,0.816,1.03,0.8799999999999999,0.874
ihg.com,2.16.27.213,78.1,78.6,78.2,78.2
ihg.com,23.1.33.216,17.4,17.5,17.46,17.5
ihg.com,23.32.5.159,204.0,204.0,204.0,204.0
ihg.com,2.18.27.76,75.6,76.3,75.74000000000001,75.7
ihg.com,92.123.104.44,83.4,83.9,83.49,83.45
ihg.com,23.3.70.48,221.0,222.0,221.1,221.0
ihg.com,125.56.219.17,244.0,245.0,244.1,244.0
