website,cdn,min,max,mean,median
marksandspencer.com,2.23.197.203,0.718,2.4,0.8985,0.7344999999999999
marksandspencer.com,23.221.76.81,147.0,194.0,151.7,147.0
marksandspencer.com,23.35.30.5,155.0,155.0,155.0,155.0
marksandspencer.com,96.17.64.67,84.5,85.3,84.61000000000001,84.5
marksandspencer.com,23.207.181.242,149.0,149.0,149.0,149.0
marksandspencer.com,104.71.212.90,147.0,148.0,147.1,147.0
marksandspencer.com,23.223.226.9,360.0,399.0,364.0,360.0
marksandspencer.com,104.115.32.78,16.2,16.8,16.259999999999998,16.2
marksandspencer.com,23.220.112.73,12.5,12.6,12.52,12.5
marksandspencer.com,2.18.161.249,0.289,4.35,0.8123999999999999,0.315
mercari.com,65.9.66.47,0.352,1.27,0.47490000000000004,0.378
mercari.com,18.238.243.71,12.3,13.2,12.4,12.3
mercari.com,13.227.74.47,147.0,147.0,147.0,147.0
mercari.com,13.33.165.114,102.0,103.0,102.1,102.0
mercari.com,18.172.78.118,274.0,275.0,274.1,274.0
mercari.com,18.238.55.50,83.1,83.2,83.11,83.1
mercari.com,18.67.76.99,85.4,85.8,85.47,85.4
mercari.com,65.9.66.9,0.353,1.1,0.48109999999999997,0.41400000000000003
mercari.com,18.238.55.94,79.2,79.7,79.27000000000001,79.2
mercari.com,13.227.74.127,148.0,149.0,148.1,148.0
mercari.com,65.9.66.118,0.356,1.62,0.5904,0.4685
mercari.com,13.35.147.114,290.0,290.0,290.0,290.0
mercari.com,108.157.254.59,235.0,236.0,235.1,235.0
cdn4image.com,157.90.128.108,5.0,5.86,5.157,5.07
cdn4image.com,157.90.90.133,5.01,5.67,5.169,5.05
cdn4image.com,46.4.15.55,4.99,5.94,5.178,5.115
cdn4image.com,142.132.194.184,5.02,6.24,5.218,5.05
cdn4image.com,116.202.160.181,5.01,29.6,7.583000000000001,5.035
cdn4image.com,116.202.116.247,5.0,5.12,5.063000000000001,5.074999999999999
cdn4image.com,5.9.157.184,4.98,5.87,5.125000000000001,5.03
cdn4image.com,157.90.128.108,5.01,6.14,5.187,5.0649999999999995
cdn4image.com,157.90.91.144,5.0,5.17,5.067,5.04
cdn4image.com,116.202.235.239,5.04,5.85,5.284,5.125
cisa.gov,104.70.87.131,0.69,1.66,0.7985,0.7055
cisa.gov,104.114.101.198,155.0,156.0,155.1,155.0
cisa.gov,23.204.25.176,82.1,87.1,82.72,82.15
cisa.gov,23.38.28.247,12.3,29.5,14.030000000000001,12.3
cisa.gov,184.87.40.114,102.0,103.0,102.1,102.0
cisa.gov,125.252.216.169,165.0,181.0,172.1,169.5
cisa.gov,23.38.237.249,144.0,145.0,144.1,144.0
cisa.gov,104.68.17.71,320.0,321.0,320.1,320.0
cisa.gov,104.103.195.88,12.4,12.8,12.47,12.4
cisa.gov,23.67.131.29,0.301,1.29,0.4372,0.3415
cisa.gov,23.49.82.123,103.0,103.0,103.0,103.0
todoist.com,143.204.98.115,0.748,1.45,0.8356,0.771
todoist.com,18.155.192.111,145.0,146.0,145.2,145.0
todoist.com,18.164.116.15,85.1,85.2,85.18000000000002,85.2
todoist.com,18.164.116.30,83.7,102.0,85.56000000000002,83.7
todoist.com,143.204.98.129,0.703,1.48,0.8352,0.763
todoist.com,108.156.60.67,11.9,12.8,12.05,12.0
todoist.com,18.65.244.102,284.0,285.0,284.1,284.0
todoist.com,13.35.238.112,155.0,155.0,155.0,155.0
todoist.com,18.164.116.22,81.2,82.0,81.35999999999999,81.3
todoist.com,108.138.64.26,92.7,93.7,92.83000000000001,92.7
todoist.com,108.159.61.116,295.0,295.0,295.0,295.0
todoist.com,18.245.96.30,106.0,107.0,106.1,106.0
20minutes.fr,143.204.98.33,0.723,1.55,0.9151,0.862
20minutes.fr,108.158.32.11,285.0,286.0,285.1,285.0
20minutes.fr,18.66.57.129,181.0,182.0,181.1,181.0
20minutes.fr,18.164.124.10,79.8,80.3,79.85999999999999,79.8
20minutes.fr,143.204.98.33,0.71,1.44,0.8615999999999999,0.812
20minutes.fr,18.165.98.66,90.7,91.1,90.75000000000001,90.7
20minutes.fr,143.204.98.16,0.756,0.864,0.8025,0.79
20minutes.fr,13.227.74.97,145.0,146.0,145.1,145.0
20minutes.fr,13.227.254.32,154.0,154.0,154.0,154.0
20minutes.fr,18.67.39.129,116.0,117.0,116.1,116.0
20minutes.fr,108.156.60.69,17.7,18.6,17.880000000000003,17.8
20minutes.fr,18.164.124.72,79.8,80.2,79.87999999999998,79.85
20minutes.fr,18.164.124.5,81.2,81.7,81.31,81.3
ajax.systems,18.245.60.7,0.464,0.552,0.5151,0.511
ajax.systems,18.239.36.111,12.2,12.2,12.2,12.2
ajax.systems,108.158.20.13,284.0,286.0,284.4,284.0
ajax.systems,108.138.217.52,14.1,28.8,15.579999999999998,14.1
ajax.systems,18.245.60.84,0.495,4.09,0.9662000000000003,0.518
ajax.systems,3.168.122.33,79.2,80.1,79.29,79.2
ajax.systems,3.168.86.97,145.0,145.0,145.0,145.0
ajax.systems,18.155.68.91,240.0,241.0,240.1,240.0
ajax.systems,3.168.122.44,84.6,85.0,84.64,84.6
ajax.systems,3.161.213.41,92.0,92.2,92.04,92.0
ajax.systems,3.168.122.49,84.6,84.6,84.6,84.6
ajax.systems,99.84.203.75,148.0,149.0,148.2,148.0
ajax.systems,18.155.99.74,273.0,274.0,273.1,273.0
ajax.systems,143.204.29.21,103.0,104.0,103.1,103.0
britishcouncil.org,69.192.160.46,0.312,0.973,0.43179999999999996,0.383
britishcouncil.org,173.223.116.35,6.4,7.17,6.545,6.455
britishcouncil.org,23.53.64.217,108.0,109.0,108.1,108.0
britishcouncil.org,96.17.60.47,128.0,129.0,128.1,128.0
