website,cdn,min,max,mean,median
123rf.com,13.226.94.83,0.831,1.19,0.9234,0.8845000000000001
123rf.com,18.172.112.48,87.6,87.8,87.62,87.6
123rf.com,13.35.238.20,250.0,250.0,250.0,250.0
123rf.com,18.239.36.20,73.7,73.9,73.78999999999999,73.8
123rf.com,18.245.96.110,13.7,13.9,13.75,13.7
123rf.com,18.160.10.79,5.99,6.06,6.021,6.02
123rf.com,13.226.94.90,0.713,1.04,0.767,0.7395
123rf.com,108.158.32.55,272.0,273.0,272.1,272.0
123rf.com,18.172.112.10,87.3,87.8,87.41,87.4
123rf.com,13.226.94.83,0.865,1.35,0.9477,0.901
123rf.com,13.226.94.6,0.717,0.81,0.7421,0.74
123rf.com,13.227.74.17,67.1,67.3,67.13,67.1
123rf.com,13.227.74.11,73.0,73.2,73.08000000000001,73.1
123rf.com,18.172.78.96,254.0,254.0,254.0,254.0
simplisafe.com,13.35.93.91,1.24,1.46,1.29,1.26
simplisafe.com,13.35.93.91,1.22,1.27,1.248,1.25
simplisafe.com,3.168.86.87,67.3,67.7,67.33999999999999,67.3
simplisafe.com,18.66.147.129,83.4,83.8,83.44,83.4
simplisafe.com,3.164.92.127,14.4,14.9,14.51,14.5
simplisafe.com,18.239.69.116,75.7,75.7,75.70000000000002,75.7
simplisafe.com,3.167.56.83,7.04,7.07,7.059,7.06
simplisafe.com,3.168.86.6,70.0,70.1,70.06,70.1
simplisafe.com,3.168.86.126,69.1,69.1,69.1,69.1
simplisafe.com,13.35.93.35,1.23,1.78,1.305,1.25
simplisafe.com,3.164.206.83,100.0,101.0,100.1,100.0
growthbook.io,13.35.93.80,1.2,1.26,1.246,1.25
growthbook.io,13.227.74.65,68.8,68.9,68.89,68.9
growthbook.io,13.33.30.31,253.0,253.0,253.0,253.0
growthbook.io,108.139.47.38,1.34,1.73,1.391,1.355
growthbook.io,13.227.74.9,72.4,72.5,72.41,72.4
growthbook.io,13.227.219.109,77.9,78.1,78.0,78.0
growthbook.io,3.162.125.36,7.88,8.34,7.948,7.91
growthbook.io,18.245.96.63,13.3,13.6,13.429999999999998,13.4
growthbook.io,18.239.111.59,259.0,259.0,259.0,259.0
growthbook.io,143.204.215.89,93.8,95.4,93.99999999999999,93.85
growthbook.io,108.139.47.113,1.24,1.53,1.2870000000000001,1.26
growthbook.io,108.158.20.74,273.0,273.0,273.0,273.0
growthbook.io,143.204.215.59,91.7,92.9,91.82000000000001,91.7
tn.com.ar,23.55.235.225,0.683,0.922,0.7308,0.709
tn.com.ar,69.192.1.210,208.0,208.0,208.0,208.0
tn.com.ar,23.1.105.20,17.5,17.5,17.5,17.5
tn.com.ar,23.209.46.75,230.0,230.0,230.0,230.0
